Date,Ozone_AQI_Value,Site Name,Site ID,Source
6/27/2016,49,New Albany,39-049-0029,AQS
6/28/2016,45,New Albany,39-049-0029,AQS
6/29/2016,50,Maple Canyon,39-049-0081,AQS
6/30/2016,100,Maple Canyon,39-049-0081,AQS
7/1/2016,61,Heath,39-089-0005,AQS
7/2/2016,42,London,39-097-0007,AQS
7/3/2016,38,New Albany,39-049-0029,AQS
7/4/2016,32,Delaware,39-041-0002,AQS
7/5/2016,44,Delaware,39-041-0002,AQS
7/6/2016,47,New Albany,39-049-0029,AQS
7/7/2016,58,London,39-097-0007,AQS
7/8/2016,48,New Albany,39-049-0029,AQS
7/9/2016,43,New Albany,39-049-0029,AQS
7/10/2016,42,London,39-097-0007,AQS
7/11/2016,61,Delaware,39-041-0002,AQS
7/12/2016,48,Delaware,39-041-0002,AQS
7/13/2016,50,New Albany,39-049-0029,AQS
7/14/2016,46,New Albany,39-049-0029,AQS
7/15/2016,44,New Albany,39-049-0029,AQS
7/16/2016,43,Heath,39-089-0005,AQS
7/17/2016,51,New Albany,39-049-0029,AQS
7/18/2016,51,Heath,39-089-0005,AQS
7/19/2016,61,FRANKLIN_PK,39-049-0037,AQS
7/20/2016,101,FRANKLIN_PK,39-049-0037,AQS
7/21/2016,105,New Albany,39-049-0029,AQS
7/22/2016,42,New Albany,39-049-0029,AQS
7/23/2016,71,New Albany,39-049-0029,AQS
7/24/2016,58,London,39-097-0007,AQS
7/25/2016,67,Heath,39-089-0005,AQS
7/26/2016,64,FRANKLIN_PK,39-049-0037,AQS
7/27/2016,90,FRANKLIN_PK,39-049-0037,AQS
7/28/2016,46,London,39-097-0007,AQS
7/29/2016,49,Heath,39-089-0005,AQS
7/30/2016,44,New Albany,39-049-0029,AQS
7/31/2016,40,New Albany,39-049-0029,AQS
8/1/2016,54,New Albany,39-049-0029,AQS
8/2/2016,58,FRANKLIN_PK,39-049-0037,AQS
8/3/2016,101,New Albany,39-049-0029,AQS
8/4/2016,42,Maple Canyon,39-049-0081,AQS
8/5/2016,87,New Albany,39-049-0029,AQS
8/6/2016,48,New Albany,39-049-0029,AQS
8/7/2016,47,London,39-097-0007,AQS
8/8/2016,54,London,39-097-0007,AQS
8/9/2016,49,Delaware,39-041-0002,AQS
8/10/2016,40,New Albany,39-049-0029,AQS
8/11/2016,38,New Albany,39-049-0029,AQS
8/12/2016,41,New Albany,39-049-0029,AQS
8/13/2016,30,New Albany,39-049-0029,AQS
8/14/2016,32,New Albany,39-049-0029,AQS
8/15/2016,40,New Albany,39-049-0029,AQS
8/16/2016,28,New Albany,39-049-0029,AQS
8/17/2016,35,New Albany,39-049-0029,AQS
8/18/2016,44,New Albany,39-049-0029,AQS
8/19/2016,44,New Albany,39-049-0029,AQS
8/20/2016,30,New Albany,39-049-0029,AQS
8/21/2016,28,New Albany,39-049-0029,AQS
8/22/2016,35,New Albany,39-049-0029,AQS
8/23/2016,49,New Albany,39-049-0029,AQS
8/24/2016,40,New Albany,39-049-0029,AQS
8/25/2016,40,New Albany,39-049-0029,AQS
8/26/2016,51,New Albany,39-049-0029,AQS
8/27/2016,43,Delaware,39-041-0002,AQS
8/28/2016,50,Maple Canyon,39-049-0081,AQS
8/29/2016,47,London,39-097-0007,AQS
8/30/2016,119,Maple Canyon,39-049-0081,AQS
8/31/2016,47,New Albany,39-049-0029,AQS
9/1/2016,31,London,39-097-0007,AQS
9/2/2016,32,London,39-097-0007,AQS
9/3/2016,37,London,39-097-0007,AQS
9/4/2016,45,London,39-097-0007,AQS
9/5/2016,64,New Albany,39-049-0029,AQS
9/6/2016,61,Heath,39-089-0005,AQS
9/7/2016,51,London,39-097-0007,AQS
9/8/2016,48,New Albany,39-049-0029,AQS
9/9/2016,39,New Albany,39-049-0029,AQS
9/10/2016,39,Heath,39-089-0005,AQS
9/11/2016,30,New Albany,39-049-0029,AQS
9/12/2016,44,Maple Canyon,39-049-0081,AQS
9/13/2016,58,New Albany,39-049-0029,AQS
9/14/2016,47,London,39-097-0007,AQS
9/15/2016,37,London,39-097-0007,AQS
9/16/2016,51,New Albany,39-049-0029,AQS
9/17/2016,41,Heath,39-089-0005,AQS
9/18/2016,36,New Albany,39-049-0029,AQS
9/19/2016,45,Maple Canyon,39-049-0081,AQS
9/20/2016,58,FRANKLIN_PK,39-049-0037,AQS
9/21/2016,71,Maple Canyon,39-049-0081,AQS
9/22/2016,115,Maple Canyon,39-049-0081,AQS
9/23/2016,112,London,39-097-0007,AQS
9/24/2016,37,New Albany,39-049-0029,AQS
9/25/2016,51,FRANKLIN_PK,39-049-0037,AQS
9/26/2016,34,New Albany,39-049-0029,AQS
9/27/2016,39,New Albany,39-049-0029,AQS
9/28/2016,31,New Albany,39-049-0029,AQS
9/29/2016,31,New Albany,39-049-0029,AQS
9/30/2016,17,New Albany,39-049-0029,AQS
10/1/2016,33,London,39-097-0007,AQS
10/2/2016,35,New Albany,39-049-0029,AQS
10/3/2016,40,Heath,39-089-0005,AQS
10/4/2016,44,London,39-097-0007,AQS
10/5/2016,48,New Albany,39-049-0029,AQS
10/6/2016,48,London,39-097-0007,AQS
10/7/2016,37,Delaware,39-041-0002,AQS
10/8/2016,37,New Albany,39-049-0029,AQS
10/9/2016,30,London,39-097-0007,AQS
10/10/2016,33,London,39-097-0007,AQS
10/11/2016,33,London,39-097-0007,AQS
10/12/2016,58,New Albany,39-049-0029,AQS
10/13/2016,28,London,39-097-0007,AQS
10/14/2016,33,London,39-097-0007,AQS
10/15/2016,46,London,39-097-0007,AQS
10/16/2016,41,New Albany,39-049-0029,AQS
10/17/2016,39,New Albany,39-049-0029,AQS
10/18/2016,39,London,39-097-0007,AQS
10/19/2016,38,New Albany,39-049-0029,AQS
10/20/2016,31,New Albany,39-049-0029,AQS
10/21/2016,29,Heath,39-089-0005,AQS
10/22/2016,26,London,39-097-0007,AQS
10/23/2016,43,New Albany,39-049-0029,AQS
10/24/2016,32,London,39-097-0007,AQS
10/25/2016,30,New Albany,39-049-0029,AQS
10/26/2016,23,New Albany,39-049-0029,AQS
10/27/2016,27,Heath,39-089-0005,AQS
10/28/2016,33,Heath,39-089-0005,AQS
10/29/2016,47,New Albany,39-049-0029,AQS
10/30/2016,31,Heath,39-089-0005,AQS
10/31/2016,27,New Albany,39-049-0029,AQS
3/1/2017,36,New Albany,39-049-0029,AQS
3/2/2017,35,Delaware,39-041-0002,AQS
3/3/2017,37,New Albany,39-049-0029,AQS
3/4/2017,37,New Albany,39-049-0029,AQS
3/5/2017,43,Heath,39-089-0005,AQS
3/6/2017,41,Heath,39-089-0005,AQS
3/7/2017,40,New Albany,39-049-0029,AQS
3/8/2017,44,New Albany,39-049-0029,AQS
3/9/2017,42,Delaware,39-041-0002,AQS
3/10/2017,39,New Albany,39-049-0029,AQS
3/11/2017,37,New Albany,39-049-0029,AQS
3/12/2017,38,New Albany,39-049-0029,AQS
3/13/2017,31,Delaware,39-041-0002,AQS
3/14/2017,39,New Albany,39-049-0029,AQS
3/15/2017,40,New Albany,39-049-0029,AQS
3/16/2017,42,New Albany,39-049-0029,AQS
3/17/2017,37,New Albany,39-049-0029,AQS
3/18/2017,23,New Albany,39-049-0029,AQS
3/19/2017,31,New Albany,39-049-0029,AQS
3/20/2017,31,Heath,39-089-0005,AQS
3/21/2017,43,New Albany,39-049-0029,AQS
3/22/2017,41,New Albany,39-049-0029,AQS
3/23/2017,44,New Albany,39-049-0029,AQS
3/24/2017,50,New Albany,39-049-0029,AQS
3/25/2017,48,New Albany,39-049-0029,AQS
3/26/2017,43,New Albany,39-049-0029,AQS
3/27/2017,43,New Albany,39-049-0029,AQS
3/28/2017,31,London,39-097-0007,AQS
3/29/2017,44,New Albany,39-049-0029,AQS
3/30/2017,44,New Albany,39-049-0029,AQS
3/31/2017,36,London,39-097-0007,AQS
4/1/2017,35,New Albany,39-049-0029,AQS
4/2/2017,42,New Albany,39-049-0029,AQS
4/3/2017,42,New Albany,39-049-0029,AQS
4/4/2017,36,New Albany,39-049-0029,AQS
4/5/2017,47,New Albany,39-049-0029,AQS
4/6/2017,34,London,39-097-0007,AQS
4/7/2017,41,New Albany,39-049-0029,AQS
4/8/2017,47,New Albany,39-049-0029,AQS
4/9/2017,64,New Albany,39-049-0029,AQS
4/10/2017,67,New Albany,39-049-0029,AQS
4/11/2017,38,New Albany,39-049-0029,AQS
4/12/2017,44,New Albany,39-049-0029,AQS
4/13/2017,46,London,39-097-0007,AQS
4/14/2017,54,New Albany,39-049-0029,AQS
4/15/2017,58,New Albany,39-049-0029,AQS
4/16/2017,46,New Albany,39-049-0029,AQS
4/17/2017,45,New Albany,39-049-0029,AQS
4/18/2017,61,New Albany,39-049-0029,AQS
4/19/2017,44,New Albany,39-049-0029,AQS
4/20/2017,49,New Albany,39-049-0029,AQS
4/21/2017,38,New Albany,39-049-0029,AQS
4/22/2017,38,New Albany,39-049-0029,AQS
4/23/2017,47,New Albany,39-049-0029,AQS
4/24/2017,47,New Albany,39-049-0029,AQS
4/25/2017,42,New Albany,39-049-0029,AQS
4/26/2017,61,London,39-097-0007,AQS
4/27/2017,46,New Albany,39-049-0029,AQS
4/28/2017,38,New Albany,39-049-0029,AQS
4/29/2017,41,London,39-097-0007,AQS
4/30/2017,34,New Albany,39-049-0029,AQS
5/1/2017,44,New Albany,39-049-0029,AQS
5/2/2017,47,New Albany,39-049-0029,AQS
5/3/2017,37,New Albany,39-049-0029,AQS
5/4/2017,39,New Albany,39-049-0029,AQS
5/5/2017,38,London,39-097-0007,AQS
5/6/2017,37,New Albany,39-049-0029,AQS
5/7/2017,44,New Albany,39-049-0029,AQS
5/8/2017,48,London,39-097-0007,AQS
5/9/2017,46,London,39-097-0007,AQS
5/10/2017,80,New Albany,39-049-0029,AQS
5/11/2017,44,New Albany,39-049-0029,AQS
5/12/2017,44,Maple Canyon,39-049-0081,AQS
5/13/2017,54,New Albany,39-049-0029,AQS
5/14/2017,64,New Albany,39-049-0029,AQS
5/15/2017,46,FRANKLIN_PK,39-049-0037,AQS
5/16/2017,97,New Albany,39-049-0029,AQS
5/17/2017,54,New Albany,39-049-0029,AQS
5/18/2017,46,New Albany,39-049-0029,AQS
5/19/2017,46,New Albany,39-049-0029,AQS
5/20/2017,34,New Albany,39-049-0029,AQS
5/21/2017,36,New Albany,39-049-0029,AQS
5/22/2017,48,London,39-097-0007,AQS
5/23/2017,61,New Albany,39-049-0029,AQS
5/24/2017,31,London,39-097-0007,AQS
5/25/2017,39,London,39-097-0007,AQS
5/26/2017,58,London,39-097-0007,AQS
5/27/2017,48,New Albany,39-049-0029,AQS
5/28/2017,47,New Albany,39-049-0029,AQS
5/29/2017,48,New Albany,39-049-0029,AQS
5/30/2017,54,New Albany,39-049-0029,AQS
5/31/2017,58,New Albany,39-049-0029,AQS
6/1/2017,64,New Albany,39-049-0029,AQS
6/2/2017,64,London,39-097-0007,AQS
6/3/2017,108,New Albany,39-049-0029,AQS
6/4/2017,100,New Albany,39-049-0029,AQS
6/5/2017,61,New Albany,39-049-0029,AQS
6/6/2017,41,New Albany,39-049-0029,AQS
6/7/2017,29,London,39-097-0007,AQS
6/8/2017,44,New Albany,39-049-0029,AQS
6/9/2017,87,New Albany,39-049-0029,AQS
6/10/2017,100,New Albany,39-049-0029,AQS
6/11/2017,67,New Albany,39-049-0029,AQS
6/12/2017,64,New Albany,39-049-0029,AQS
6/13/2017,48,New Albany,39-049-0029,AQS
6/14/2017,51,Heath,39-089-0005,AQS
6/15/2017,49,Heath,39-089-0005,AQS
6/16/2017,87,New Albany,39-049-0029,AQS
6/17/2017,77,New Albany,39-049-0029,AQS
6/18/2017,40,New Albany,39-049-0029,AQS
6/19/2017,44,New Albany,39-049-0029,AQS
6/20/2017,51,New Albany,39-049-0029,AQS
