Date,Ozone_AQI_Value,Site Name,Site ID,Source
7/2/2016,38,Berea BOE,39-035-0064,AQS
7/3/2016,61,Berea BOE,39-035-0064,AQS
7/4/2016,51,Notre Dame,39-055-0004,AQS
7/5/2016,87,Eastlake,39-085-0003,AQS
7/6/2016,51,Eastlake,39-085-0003,AQS
7/7/2016,112,Eastlake,39-085-0003,AQS
7/8/2016,74,Eastlake,39-085-0003,AQS
7/9/2016,47,Notre Dame,39-055-0004,AQS
7/10/2016,32,Chippewa,39-103-0004,AQS
7/11/2016,77,Mayfield,39-035-5002,AQS
7/12/2016,101,Eastlake,39-085-0003,AQS
7/13/2016,74,Eastlake,39-085-0003,AQS
7/14/2016,47,Eastlake,39-085-0003,AQS
7/15/2016,44,Notre Dame,39-055-0004,AQS
7/16/2016,31,Chippewa,39-103-0004,AQS
7/17/2016,54,Eastlake,39-085-0003,AQS
7/18/2016,58,Eastlake,39-085-0003,AQS
7/19/2016,46,Chippewa,39-103-0004,AQS
7/20/2016,44,Notre Dame,39-055-0004,AQS
7/21/2016,112,Eastlake,39-085-0003,AQS
7/22/2016,100,Eastlake,39-085-0003,AQS
7/23/2016,119,Eastlake,39-085-0003,AQS
7/24/2016,51,Notre Dame,39-055-0004,AQS
7/25/2016,80,Eastlake,39-085-0003,AQS
7/26/2016,40,Chippewa,39-103-0004,AQS
7/27/2016,74,Notre Dame,39-055-0004,AQS
7/28/2016,74,Mayfield,39-035-5002,AQS
7/29/2016,54,District 6,39-035-0034,AQS
7/30/2016,44,Sheffield,39-093-0018,AQS
7/31/2016,49,Eastlake,39-085-0003,AQS
8/1/2016,46,Notre Dame,39-055-0004,AQS
8/2/2016,49,Chippewa,39-103-0004,AQS
8/3/2016,58,Chippewa,39-103-0004,AQS
8/4/2016,58,Eastlake,39-085-0003,AQS
8/5/2016,80,Eastlake,39-085-0003,AQS
8/6/2016,37,District 6,39-035-0034,AQS
8/7/2016,34,Chippewa,39-103-0004,AQS
8/8/2016,44,Chippewa,39-103-0004,AQS
8/9/2016,84,Sheffield,39-093-0018,AQS
8/10/2016,51,Eastlake,39-085-0003,AQS
8/11/2016,67,Eastlake,39-085-0003,AQS
8/12/2016,44,Eastlake,39-085-0003,AQS
8/13/2016,35,Eastlake,39-085-0003,AQS
8/14/2016,35,Eastlake,39-085-0003,AQS
8/15/2016,32,Mayfield,39-035-5002,AQS
8/16/2016,29,Notre Dame,39-055-0004,AQS
8/17/2016,45,Notre Dame,39-055-0004,AQS
