Date,Nitrogen_Dioxide_AQI_Value,Site Name,Site ID,Source
2/2/2011,18,Taft NCore,39-061-0040,AQS
2/3/2011,37,Taft NCore,39-061-0040,AQS
2/4/2011,36,Taft NCore,39-061-0040,AQS
2/5/2011,27,Taft NCore,39-061-0040,AQS
2/6/2011,30,Taft NCore,39-061-0040,AQS
2/7/2011,25,Taft NCore,39-061-0040,AQS
2/8/2011,15,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
2/9/2011,28,Taft NCore,39-061-0040,AQS
2/10/2011,21,Taft NCore,39-061-0040,AQS
2/11/2011,25,Taft NCore,39-061-0040,AQS
2/12/2011,18,Taft NCore,39-061-0040,AQS
2/13/2011,12,Taft NCore,39-061-0040,AQS
2/14/2011,13,Taft NCore,39-061-0040,AQS
2/15/2011,27,Taft NCore,39-061-0040,AQS
2/16/2011,31,Taft NCore,39-061-0040,AQS
2/17/2011,19,Taft NCore,39-061-0040,AQS
2/18/2011,15,Taft NCore,39-061-0040,AQS
2/19/2011,31,Taft NCore,39-061-0040,AQS
2/20/2011,18,Taft NCore,39-061-0040,AQS
2/21/2011,25,Taft NCore,39-061-0040,AQS
2/22/2011,24,Taft NCore,39-061-0040,AQS
2/23/2011,23,Taft NCore,39-061-0040,AQS
2/24/2011,30,Taft NCore,39-061-0040,AQS
2/25/2011,6,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
2/26/2011,6,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
2/27/2011,0,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
2/28/2011,7,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/1/2011,21,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/2/2011,20,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/3/2011,4,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/4/2011,26,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/5/2011,3,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/6/2011,0,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/7/2011,8,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/8/2011,9,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/9/2011,30,Taft NCore,39-061-0040,AQS
3/10/2011,13,Taft NCore,39-061-0040,AQS
3/11/2011,24,Taft NCore,39-061-0040,AQS
3/12/2011,26,Taft NCore,39-061-0040,AQS
3/13/2011,29,Taft NCore,39-061-0040,AQS
3/14/2011,20,Taft NCore,39-061-0040,AQS
3/15/2011,23,Taft NCore,39-061-0040,AQS
3/16/2011,23,Taft NCore,39-061-0040,AQS
3/17/2011,25,Taft NCore,39-061-0040,AQS
3/18/2011,25,Taft NCore,39-061-0040,AQS
3/19/2011,12,Taft NCore,39-061-0040,AQS
3/20/2011,33,Taft NCore,39-061-0040,AQS
3/21/2011,16,Taft NCore,39-061-0040,AQS
3/22/2011,28,Taft NCore,39-061-0040,AQS
3/23/2011,15,Taft NCore,39-061-0040,AQS
3/24/2011,12,Taft NCore,39-061-0040,AQS
3/25/2011,30,Taft NCore,39-061-0040,AQS
3/26/2011,9,Taft NCore,39-061-0040,AQS
3/27/2011,8,Taft NCore,39-061-0040,AQS
3/28/2011,23,Taft NCore,39-061-0040,AQS
3/29/2011,29,Taft NCore,39-061-0040,AQS
3/30/2011,20,Taft NCore,39-061-0040,AQS
3/31/2011,30,Taft NCore,39-061-0040,AQS
4/1/2011,36,Taft NCore,39-061-0040,AQS
4/2/2011,21,Taft NCore,39-061-0040,AQS
4/3/2011,28,Taft NCore,39-061-0040,AQS
4/4/2011,11,Taft NCore,39-061-0040,AQS
4/5/2011,32,Taft NCore,39-061-0040,AQS
4/6/2011,27,Taft NCore,39-061-0040,AQS
4/7/2011,27,Taft NCore,39-061-0040,AQS
4/8/2011,26,Taft NCore,39-061-0040,AQS
4/9/2011,28,Taft NCore,39-061-0040,AQS
4/10/2011,17,Taft NCore,39-061-0040,AQS
4/11/2011,18,Taft NCore,39-061-0040,AQS
4/12/2011,19,Taft NCore,39-061-0040,AQS
4/13/2011,41,Taft NCore,39-061-0040,AQS
4/14/2011,46,Taft NCore,39-061-0040,AQS
