OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
1892,62,122,27,54,18,11.855897699100002
1893,151,280,21,39,61,9.34894591337
1894,103,184,32,58,51,13.946879115
1895,180,281,39,61,40,16.521645534399998
1896,41,70,20,33,9,8.726354705489998
1897,494,829,50,83,132,20.3704137976
1898,310,379,58,71,75,23.4367330084
1899,34,48,23,33,17,10.2337268203
1900,88,124,39,55,79,16.4499444044
1901,181,251,47,66,45,19.6195051354
1902,167,218,48,62,35,19.7487439066
1903,386,495,57,74,135,23.263737318000004
1904,105,146,38,52,39,15.9346354573
1905,170,220,50,65,116,20.7662200577
1906,631,833,58,77,201,23.5672198895
1907,158,213,49,66,40,20.1979136926
1908,350,460,59,77,103,23.705887925299997
1909,422,561,54,72,83,22.1467541107
1910,311,411,55,72,87,22.313098834
1911,74,110,31,46,16,13.247948449000003
1912,432,570,57,76,179,23.3311089005
1913,291,391,53,71,189,21.6494286555
1914,54,113,18,38,14,8.214329060839999
1915,142,209,39,57,46,16.4291923672
1916,186,308,40,67,60,17.079266382700002
1917,311,461,48,71,77,19.8743851646
1918,94,173,28,51,43,11.934547629899999
1919,90,174,24,46,43,10.4804633422
1920,120,174,40,59,27,16.7836649879
1921,70,119,26,45,17,11.4719107625
1922,137,275,23,47,19,10.105191393999998
1923,41,76,20,37,10,8.7243768558
1924,47,87,22,40,9,9.58143668732
1925,93,207,23,50,13,9.92669846857
1926,97,166,20,34,23,8.668251769369999
1927,149,289,23,45,27,10.1377669291
1928,240,327,46,63,143,19.1310248268
1929,345,485,57,80,110,22.904658814100003
1930,342,552,51,82,89,20.767694642200002
1931,380,555,51,74,82,20.7991423783
1932,182,338,22,41,19,9.67674472051
1933,111,196,26,46,25,11.3443174306
1934,123,189,29,45,16,12.5424337301
1935,91,185,17,36,44,7.792262295739999
1936,37,72,20,39,10,9.0220638132
1937,603,884,59,86,153,23.6532974063
1938,70,123,24,43,12,10.634232738
1939,86,154,25,45,15,10.992211854699999
1940,68,166,15,37,10,6.71656029311
1941,84,164,29,56,32,12.3619015692
