Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
2/10/2019,53,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/11/2019,55,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/12/2019,33,Ozone,Oxford,39-017-9991,AQS
2/13/2019,35,Ozone,Oxford,39-017-9991,AQS
2/14/2019,34,Ozone,Oxford,39-017-9991,AQS
2/15/2019,46,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/16/2019,40,PM2.5,Taft NCore,39-061-0040,AQS
2/17/2019,57,PM2.5,BPG,39-017-0022,AQS
2/18/2019,42,PM2.5,Sycamore,39-061-0006,AQS
2/19/2019,51,PM2.5,Sycamore,39-061-0006,AQS
2/20/2019,33,PM2.5,BPG,39-017-0022,AQS
2/21/2019,53,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/22/2019,78,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/23/2019,59,PM2.5,BPG,39-017-0022,AQS
2/24/2019,42,Ozone,Oxford,39-017-9991,AQS
2/25/2019,43,NO2,Taft NCore,39-061-0040,AQS
2/26/2019,54,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/27/2019,63,PM2.5,Cincinnati Near Road,39-061-0048,AQS
2/28/2019,65,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/1/2019,63,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/2/2019,64,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/3/2019,69,PM2.5,NORTHERN KENTUCKY UNIVERSITY (NKU),21-037-3002,AQS
3/4/2019,38,Ozone,Sycamore,39-061-0006,AQS
3/5/2019,40,PM2.5,Colerain,39-061-0010,AQS
3/6/2019,41,Ozone,Colerain,39-061-0010,AQS
3/7/2019,56,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/8/2019,65,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/9/2019,51,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/10/2019,42,Ozone,Sycamore,39-061-0006,AQS
3/11/2019,47,Ozone,Crawford Woods,39-017-0023,AQS
3/12/2019,56,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/13/2019,48,Ozone,Sycamore,39-061-0006,AQS
3/14/2019,52,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/15/2019,37,Ozone,Batavia,39-025-0022,AQS
3/16/2019,45,Ozone,Batavia,39-025-0022,AQS
3/17/2019,49,PM2.5,Sycamore,39-061-0006,AQS
3/18/2019,47,Ozone,Batavia,39-025-0022,AQS
3/19/2019,59,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/20/2019,62,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/21/2019,54,PM2.5,Sycamore,39-061-0006,AQS
3/22/2019,46,Ozone,Batavia,39-025-0022,AQS
3/23/2019,46,Ozone,Batavia,39-025-0022,AQS
3/24/2019,66,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/25/2019,107,SO2,Yankee,39-017-0020,AQS
3/26/2019,44,Ozone,Middletown Airport,39-017-0018,AQS
3/27/2019,52,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/28/2019,67,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/29/2019,69,PM2.5,Cincinnati Near Road,39-061-0048,AQS
3/30/2019,42,Ozone,Batavia,39-025-0022,AQS
3/31/2019,44,Ozone,Batavia,39-025-0022,AQS
4/1/2019,44,Ozone,Batavia,39-025-0022,AQS
4/2/2019,54,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/3/2019,55,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/4/2019,54,Ozone,Batavia,39-025-0022,AQS
4/5/2019,63,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/6/2019,71,Ozone,Crawford Woods,39-017-0023,AQS
4/7/2019,60,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/8/2019,46,Ozone,Oxford,39-017-9991,AQS
4/9/2019,54,Ozone,Batavia,39-025-0022,AQS
4/10/2019,53,PM2.5,Taft NCore,39-061-0040,AQS
4/11/2019,49,Ozone,Lebanon,39-165-0007,AQS
4/12/2019,45,PM2.5,Ohio Bell,39-017-0015,AQS
4/13/2019,49,Ozone,Sycamore,39-061-0006,AQS
4/14/2019,46,SO2,Amanda Elem,39-017-0019,AQS
4/15/2019,45,Ozone,Colerain,39-061-0010,AQS
4/16/2019,64,Ozone,Lebanon,39-165-0007,AQS
4/17/2019,58,Ozone,Batavia,39-025-0022,AQS
4/18/2019,61,Ozone,Middletown Airport,39-017-0018,AQS
4/19/2019,31,Ozone,Middletown Airport,39-017-0018,AQS
4/20/2019,31,Ozone,Middletown Airport,39-017-0018,AQS
4/21/2019,49,PM10,Yankee,39-017-0020,AQS
4/22/2019,54,Ozone,Crawford Woods,39-017-0023,AQS
4/23/2019,55,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/24/2019,42,Ozone,Batavia,39-025-0022,AQS
4/25/2019,55,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/26/2019,51,Ozone,Crawford Woods,39-017-0023,AQS
4/27/2019,44,Ozone,Batavia,39-025-0022,AQS
4/28/2019,45,Ozone,Middletown Airport,39-017-0018,AQS
4/29/2019,52,PM2.5,Cincinnati Near Road,39-061-0048,AQS
4/30/2019,61,PM2.5,Cincinnati Near Road,39-061-0048,AQS
5/1/2019,78,PM2.5,Cincinnati Near Road,39-061-0048,AQS
5/2/2019,47,PM2.5,Cincinnati Near Road,39-061-0048,AQS
5/3/2019,41,Ozone,Sycamore,39-061-0006,AQS
5/4/2019,62,PM2.5,Taft NCore,39-061-0040,AQS
5/5/2019,47,Ozone,Middletown Airport,39-017-0018,AQS
5/6/2019,90,Ozone,Sycamore,39-061-0006,AQS
5/7/2019,100,Ozone,Lebanon,39-165-0007,AQS
5/8/2019,64,Ozone,Oxford,39-017-9991,AQS
5/9/2019,63,PM10,Yankee,39-017-0020,AQS
5/10/2019,38,PM2.5,Sycamore,39-061-0006,AQS
5/11/2019,42,Ozone,Middletown Airport,39-017-0018,AQS
5/12/2019,35,PM2.5,Taft NCore,39-061-0040,AQS
5/13/2019,31,Ozone,EAST BEND,21-015-0003,AQS
5/14/2019,48,Ozone,Batavia,39-025-0022,AQS
5/15/2019,77,PM10,Yankee,39-017-0020,AQS
5/16/2019,67,Ozone,Middletown Airport,39-017-0018,AQS
5/17/2019,64,Ozone,Oxford,39-017-9991,AQS
5/18/2019,71,Ozone,Middletown Airport,39-017-0018,AQS
5/19/2019,53,PM2.5,Taft NCore,39-061-0040,AQS
5/20/2019,38,Ozone,Batavia,39-025-0022,AQS
5/21/2019,40,PM2.5,BPG,39-017-0022,AQS
5/22/2019,58,PM2.5,Taft NCore,39-061-0040,AQS
5/23/2019,55,PM2.5,Cincinnati Near Road,39-061-0048,AQS
5/24/2019,56,PM2.5,Yankee,39-017-0020,AQS
5/25/2019,58,PM2.5,Taft NCore,39-061-0040,AQS
5/26/2019,55,PM2.5,Taft NCore,39-061-0040,AQS
5/27/2019,46,PM2.5,Taft NCore,39-061-0040,AQS
5/28/2019,66,PM2.5,Taft NCore,39-061-0040,AQS
5/29/2019,44,PM2.5,Lebanon,39-165-0007,AQS
5/30/2019,40,Ozone,Oxford,39-017-9991,AQS
5/31/2019,46,Ozone,Oxford,39-017-9991,AQS
6/1/2019,71,Ozone,Batavia,39-025-0022,AQS
6/2/2019,64,PM2.5,Taft NCore,39-061-0040,AQS
6/3/2019,51,Ozone,Batavia,39-025-0022,AQS
6/4/2019,97,Ozone,Middletown Airport,39-017-0018,AQS
6/5/2019,56,PM2.5,Taft NCore,39-061-0040,AQS
6/6/2019,100,Ozone,Colerain,39-061-0010,AQS
6/7/2019,67,Ozone,Middletown Airport,39-017-0018,AQS
6/8/2019,57,PM2.5,BPG,39-017-0022,AQS
6/9/2019,32,Ozone,Batavia,39-025-0022,AQS
6/10/2019,38,Ozone,Batavia,39-025-0022,AQS
6/11/2019,50,PM2.5,Yankee,39-017-0020,AQS
6/12/2019,48,Ozone,Middletown Airport,39-017-0018,AQS
6/13/2019,40,Ozone,Middletown Airport,39-017-0018,AQS
