Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
7/19/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
7/20/2019,54,PM2.5,Harvard Yards,39-035-0065,AQS
7/21/2019,44,Ozone,Mayfield,39-035-5002,AQS
7/22/2019,32,Ozone,Eastlake,39-085-0003,AQS
7/23/2019,43,Ozone,District 6,39-035-0034,AQS
7/24/2019,36,Ozone,GT Craig NCore,39-035-0060,AQS
7/25/2019,49,Ozone,District 6,39-035-0034,AQS
7/26/2019,87,Ozone,Mayfield,39-035-5002,AQS
7/27/2019,80,Ozone,Painesville,39-085-0007,AQS
7/28/2019,58,Ozone,Mayfield,39-035-5002,AQS
7/29/2019,64,PM2.5,Harvard Yards,39-035-0065,AQS
7/30/2019,47,Ozone,Eastlake,39-085-0003,AQS
7/31/2019,44,Ozone,Mayfield,39-035-5002,AQS
8/1/2019,48,Ozone,Berea BOE,39-035-0064,AQS
8/2/2019,51,PM2.5,GT Craig NCore,39-035-0060,AQS
8/3/2019,56,PM2.5,GT Craig NCore,39-035-0060,AQS
8/4/2019,105,Ozone,Eastlake,39-085-0003,AQS
8/5/2019,74,Ozone,Notre Dame,39-055-0004,AQS
8/6/2019,48,PM2.5,GT Craig NCore,39-035-0060,AQS
8/7/2019,58,Ozone,Berea BOE,39-035-0064,AQS
8/8/2019,44,Ozone,Notre Dame,39-055-0004,AQS
8/9/2019,39,Ozone,Chippewa,39-103-0004,AQS
8/10/2019,52,PM2.5,Harvard Yards,39-035-0065,AQS
8/11/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
8/12/2019,53,PM2.5,GT Craig NCore,39-035-0060,AQS
8/13/2019,60,PM2.5,Harvard Yards,39-035-0065,AQS
8/14/2019,42,Ozone,Berea BOE,39-035-0064,AQS
8/15/2019,51,PM2.5,GT Craig NCore,39-035-0060,AQS
8/16/2019,54,PM2.5,Harvard Yards,39-035-0065,AQS
8/17/2019,54,PM2.5,GT Craig NCore,39-035-0060,AQS
8/18/2019,45,Ozone,Notre Dame,39-055-0004,AQS
8/19/2019,64,Ozone,Mayfield,39-035-5002,AQS
8/20/2019,61,Ozone,Mayfield,39-035-5002,AQS
8/21/2019,91,SO2,Painesville,39-085-0007,AQS
8/22/2019,36,Ozone,Chippewa,39-103-0004,AQS
8/23/2019,29,Ozone,Eastlake,39-085-0003,AQS
8/24/2019,31,Ozone,Chippewa,39-103-0004,AQS
8/25/2019,45,PM2.5,Harvard Yards,39-035-0065,AQS
8/26/2019,40,Ozone,Painesville,39-085-0007,AQS
8/27/2019,28,PM2.5,GT Craig NCore,39-035-0060,AQS
8/28/2019,39,Ozone,Notre Dame,39-055-0004,AQS
8/29/2019,39,Ozone,Notre Dame,39-055-0004,AQS
8/30/2019,46,Ozone,GT Craig NCore,39-035-0060,AQS
8/31/2019,38,Ozone,Chippewa,39-103-0004,AQS
9/1/2019,44,PM2.5,GT Craig NCore,39-035-0060,AQS
9/2/2019,44,Ozone,Eastlake,39-085-0003,AQS
9/3/2019,51,PM2.5,Harvard Yards,39-035-0065,AQS
9/4/2019,33,Ozone,Chippewa,39-103-0004,AQS
9/5/2019,39,Ozone,Notre Dame,39-055-0004,AQS
9/6/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
9/7/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
9/8/2019,31,Ozone,Chippewa,39-103-0004,AQS
9/9/2019,55,PM10,St Theodosius,39-035-0038,AQS
9/10/2019,93,Ozone,Eastlake,39-085-0003,AQS
9/11/2019,84,Ozone,Eastlake,39-085-0003,AQS
9/12/2019,48,PM10,Harvard Yards,39-035-0065,AQS
9/13/2019,64,Ozone,Notre Dame,39-055-0004,AQS
9/14/2019,38,Ozone,Notre Dame,39-055-0004,AQS
9/15/2019,62,PM2.5,Harvard Yards,39-035-0065,AQS
9/16/2019,46,Ozone,Notre Dame,39-055-0004,AQS
9/17/2019,46,PM10,St Theodosius,39-035-0038,AQS
9/18/2019,71,PM10,Harvard Yards,39-035-0065,AQS
9/19/2019,58,Ozone,Notre Dame,39-055-0004,AQS
9/20/2019,67,Ozone,District 6,39-035-0034,AQS
9/21/2019,97,Ozone,Mayfield,39-035-5002,AQS
9/22/2019,59,PM2.5,GT Craig NCore,39-035-0060,AQS
9/23/2019,38,Ozone,Notre Dame,39-055-0004,AQS
9/24/2019,36,Ozone,GT Craig NCore,39-035-0060,AQS
