Date_left, AQI_Value_left,Main_Pollutant_left,Site_Name_left,Site_ID_left,Source_left,AQI_Value_left,Date_right, AQI_Value_right,Main_Pollutant_right,Site_Name_right,Site_ID_right,Source_right,AQI_Value_right
2019-12-17,57,PM2.5,Cleveland Near Road,39-035-0073,AQS,57.0,2019-12-17,57.0,PM2.5,Yankee,39-017-0020,AQS,57.0
2019-12-18,51,PM2.5,Cleveland Near Road,39-035-0073,AQS,51.0,2019-12-18,58.0,PM2.5,Carthage,39-061-0014,AQS,58.0
2019-12-19,43,PM2.5,Cleveland Near Road,39-035-0073,AQS,43.0,2019-12-19,60.0,PM2.5,Carthage,39-061-0014,AQS,60.0
2019-12-20,79,PM2.5,St Theodosius,39-035-0038,AQS,79.0,2019-12-20,83.0,PM2.5,BPG,39-017-0022,AQS,83.0
2019-12-21,77,PM2.5,Cleveland Near Road,39-035-0073,AQS,77.0,2019-12-21,78.0,PM2.5,Carthage,39-061-0014,AQS,78.0
2019-12-22,66,PM2.5,Cleveland Near Road,39-035-0073,AQS,66.0,2019-12-22,78.0,PM2.5,Carthage,39-061-0014,AQS,78.0
2019-12-23,59,PM2.5,Harvard Yards,39-035-0065,AQS,59.0,2019-12-23,86.0,PM2.5,BPG,39-017-0022,AQS,86.0
2019-12-24,87,PM2.5,GT Craig NCore,39-035-0060,AQS,87.0,2019-12-24,80.0,PM2.5,Carthage,39-061-0014,AQS,80.0
2019-12-25,57,PM2.5,Cleveland Near Road,39-035-0073,AQS,57.0,2019-12-25,80.0,PM2.5,Carthage,39-061-0014,AQS,80.0
2019-12-26,55,PM2.5,St Theodosius,39-035-0038,AQS,55.0,2019-12-26,44.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,44.0
2019-12-27,62,PM2.5,Cleveland Near Road,39-035-0073,AQS,62.0,2019-12-27,63.0,PM2.5,Taft NCore,39-061-0040,AQS,63.0
2019-12-28,78,PM2.5,Chippewa,39-103-0004,AQS,78.0,2019-12-28,68.0,PM2.5,Cincinnati Near Road,39-061-0048,AQS,68.0
2019-12-29,65,PM2.5,St Theodosius,39-035-0038,AQS,65.0,,,,,,,
2019-12-31,27,PM2.5,Cleveland Near Road,39-035-0073,AQS,27.0,,,,,,,
